Stastic_use_course_num = ,1335,,,,,,,,,@
Course Code,Course Name,Course Credits,Prerequisite(s),Exclusion(s),Corequisite(s),Co-list with,Mode of Delivery,Previous Course Code(s),Alternate code(s),@
MGMT 3170,Managing CSR (Corporate Social Responsibility),3 Credit(s),,,,,,,,This course will focus on specific CSR (Corporate Social Responsibility) issues facing companies today. Along with changing attitudes@ new global regulatory CSR requirements are increasingly putting firms under pressure to demonstrate positive social and environmental impacts@ while maintaining their commitments to investors. Students will investigate how actual firms are managing these pressures while continuing to address the needs of their stakeholders. Incorporating aspects of the benchmark standards such as the GRI and various ESG (Environmental Social Governance) initiatives will help students to strengthen their own knowledge@ skill@ and attitudes in this area. The course has an embedded project@ with direct links to one or more businesses@ which will give students the necessary practical grounding for effectively understanding the challenges of CSR in the contemporary business environment.,@
MGMT 4000,Special Topics in Management,0-4 Credit(s),MGMT 2110,,,,,,,Current development issues in the field of organization and management; topics selected by instructors.,@
MGMT 4010,Independent Study,1-4 Credit(s),,,,,,,,Faculty directed independent study.  May be graded letter grades or P/F subject to different offerings.,@
MGMT 4210,Corporate Strategy,3 Credit(s),MGMT 2110,,,,,,,Major techniques and approaches to the development and implementation of corporate strategies. Underlying concepts; analytical techniques; internal and external competitor analysis and evaluation of strategic options.,@
MGMT 4220,Entrepreneurship and Innovation,4 Credit(s),,,,,,,,This is an interactive course that introduces knowledge about the creation and management of new business ventures. Attention is also given to key issues in corporate entrepreneurship@ social entrepreneurship@ and family businesses.,@
MGMT 4230,International Management,4 Credit(s),,,,,,,,Understanding and managing multinational corporations in different economic@ social@ cultural@ legal and technological environments.,@
MGMT 4240,Strategic Management in China,4 Credit(s),,MGMT 5480,,,,,,The overall goal of this course is to teach the students key theories and frameworks in strategic management and apply them to Chinese context.  it takes a comparative perspective to analyze the similarities and differences in strategic management between East and West.  It is case intensive course which involves extensive student participation in analyzing cases of business in China.,@
MGMT 4250,Management Consulting,3 Credit(s),MGMT 1110 or MGMT 2110,,,,,,,To meet the increasing demand from both the private and public sectors in local and international firms in Hong Kong@ South East Asia and mainland China@ Management Consulting is a course to be offered by faculty with consulting experience who will train students in management with the fundamental and practical skills to understand and analyse business problems in order to work out a number of scenarios for solving problems. More importantly@ the students will be encouraged to work in teams and propose innovative and strategic consulting plans to meet a set of specified goals from time to time.,@
MGMT 4260,Simulating Executive Decision-making (Strategy and Crisis) in a Real-life Organization,3 Credit(s),,,,,,,,This is a tri-model learning course that simulates everyday@ practical decision-making by shadowing a real-life business. Students will spend time in the location of the company@ reflecting on the work of the executives and the decisions they make related to strategy@ operations and crisis. They will undertake a strategy project and prepare a report and presentation to the company executives at the end of the project. Students will also take part in a crisis simulation exercises set on real-life crisis that the executives have experienced. Student enrollment in this course requires the approval of the course instructor.,@
MGMT 4270,Training and Development,3 Credit(s),MGMT 3110,,,,,,,In today#s competitive business world@ organizations need to implement training and development initiatives to continuously cultivate their human resources. This course aims to provide students with a comprehensive understanding of the training and developing process in organizations. Topics include training needs assessment@ learning motivation@ theories of learning@ transfer of training@ training methods@ and training evaluation. The course will also examine special topics of interest such as cross-cultural training@ career development@ and the role of information technology and social responsibility in training and development.,@
MGMT 4280,Transnational Legal Issues and Dispute Settlement,3 Credit(s),,,,,,MGMT 4000D,,The course introduces students to core legal principles of transnational economic law and the mechanisms for the settlement of trade and investment disputes. The topics discussed are closely related to world-wide current events that affect transnational law and dispute resolution. The lectures examine how domestic laws@ and regional and international agreements impact the operations of corporations in different economic sectors (i.e. energy@ infrastructure@ pharmaceuticals etc@) and in labour relations. The course covers decisions of international courts and arbitral tribunals that affect the activities and governance of private and state-owned multinational corporations. Students will learn how companies can minimize the impact of problematic situations through arbitration@ mediation@ and alternative means of dispute settlement. The understanding of key legal concepts that govern cross-border trade and investment ensures a holistic preparation to management and business students and enables them to better address complex issues that companies face in a globalised economy.,@
MGMT 4300,Knowing and Managing Your Social Networks for Careers and Business,3 Credit(s),MGMT 2110,,,,[EXP] Experiential learning,MGMT 4000E,,Business environments change@ but what stays constant is that business still involves people and relationships. Knowing the right people and building a helpful network of people are critical to successful careers. Throughout this course@ you will learn about: 1) why are networks important@ and how@ 2) what are the different aspects of networks that matter@ and 3) how does your network look like? To answer these questions@ this course will introduce you to elementary theories of social networks and skills in network science. Student enrollment in this course requires the approval of the course instructor.,@
OCES 1001,The Earth as a Blue Planet,3 Credit(s),,,,,[BLD] Blended learning,,,The ocean is the largest life supporting habitat on Earth@ and yet@ it is less explored than the surface of the moon. This survey course introduces students to the fundamental@ cross-disciplinary knowledge of our ocean from its formation@ to the physics in circulation and climate modulation@ to the chemistry and biology of the living systems within.,@
OCES 1030,Environmental Science,3 Credit(s),,,,,,,,This course introduces students to the general concepts of environment@ natural resources@ and sustainable development. The topics include pressing global@ regional and local environmental changes; life-supporting systems of our planet; biodiversity and its conservation; atmosphere@ water resources@ and their pollutions; solid and hazardous waste management; environmental health and sustainable development. Throughout the course@ students will gain a sufficient background and a better understanding of the root-causes of the upfront environmental issues. They will also become more aware of their role@ as citizens@ in environmental protection and sustainable development.,@
OCES 2001,Survey of Ocean Science,3 Credit(s),OCES 1001,,,,,ENVS 2004,,The ocean defines the features of our planet. The ultimate goal of the course is to promote and enhance ocean literacy@ which means the awareness and understanding of fundamental concepts of the history@ functioning@ and utilization of the ocean. By the end of this course students will understand the ocean#s influence on individuals and their influence on the ocean. The course will cover a wide range of topics including ocean physics@ marine chemistry@ marine geology@ and biological oceanography.,@
OCES 2002,Marine Chemistry,3 Credit(s),CHEM 1030,,,,,,,This course is an introduction to chemical oceanography. It describes the chemistry of the ocean based on distribution and dynamics of elements@ isotopes@ atoms and molecules. This ranges from fundamental physical@ thermodynamic and kinetic chemistry to two-way interactions of ocean chemistry with biological@ geological and physical processes. It encompasses both inorganic and organic chemistry@ and includes studies of ocean-atmosphere dynamics and marine sediments.,@
OCES 2003,Descriptive Physical Oceanography,3 Credit(s),(PHYS 1111 OR PHYS 1112 OR PHYS 1312) AND (MATH 1012 OR MATH 1013 OR MATH 1020 OR MATH 1023),,,,,,,This course is an introduction to physical oceanography that includes topics such as physical description of the sea@ physical properties of seawater@ methods and measurements@ wind-driven ocean circulation@ abyssal ocean circulation@ boundary processes@ and wave motions. Large-scale distributions and processes that are central to the ocean#s role in Earth#s climate and biosphere will also be addressed and discussed.,@
OCES 2100,Conservation Field Trips,1 Credit(s),,,,,,ENVS 2001,,This course introduces students to a range of local conservation efforts through various field trips. Through this course@ students are expected to enhance their appreciation of our nature@ to recognise the importance of harmony between human and the environment@ as well as to learn how to contribute to environmental conservation as a responsible citizen. Graded P or F. Cantonese may be used in field trips@ in some situations. Instructor#s approval is required for enrolling in the course.,@
OCES 2201,Internship,2-4 Credit(s),,,,,,ENVS 2002,,This course aims to provide students with hands-on experience in environmental and ocean science fields. Students will undertake training and duties under the internship supervisors. Graded P or F. Maybe graded PP. Cantonese may be used in off-campus trainings and internships@ in some situations. Instructor#s approval is required for enrolling in the course.,@
OCES 3001,Coastal Environmental Monitoring,3 Credit(s),OCES 2001 AND OCES 2002,,,,,ENVS 3001,,Students will gain hands-on experience in field survey and sampling@ laboratory studies including physical@ chemical and biological analyses@ experimental design@ as well as data analyses and presentations. Course topics include coastal survey@ water quality monitoring@ marine sediment quality monitoring@ etc.,@
OCES 3002,Remote Sensing@ GIS and GPS,3 Credit(s),,,,,,ENVS 4012A,,Geospatial data technology is an information system designed for environmental management and is comprised of Geographic Information System (GIS)@ Global Positioning System (GPS) and Remote Sensing. With the rapid development of internet and geospatial technology@ tremendous amount of environmental data has become easily available at our fingertips. By learning the concepts of geospatial data technology and its applications@ students will learn the use of geospatial data technology as an essential tool for us to better understand@ manage and conserve the ocean and its resource.,@
OCES 3003,Field Methods in Marine Studies,3 Credit(s),,,,,,,,Through this course@ students will be equipped with the knowledge and skills for sample collection and in situ measurement in various marine habitats. The topics will include (i) the design of scientifically robust sampling plans@ (ii) safety precautions for field activities@ (iii) proper collection and preservation of field samples@ (iv) proper measurement and recording of in situ environmental parameters@ and (v) post field trip sample storage and data management.,@
OCES 3004,Ocean Sensors and Instrumentation,3 Credit(s),OCES 2001 AND OCES 3001,,,,,,,This course aims to provide students with an understanding of the theoretical and practical principles of making measurements in the ocean as well as an opportunity to build and design simple deployment.,@
OCES 3130,Marine Biology,3 Credit(s),,,,,,,,Survey of the major marine living organisms; their habitat and community structures; trophic interactions and the marine ecosystem.,@
OCES 3160,Ecology,3 Credit(s),,,,,,,,Basic principles and patterns of ecology; population growth; community interaction; ecosystem; ecosphere.,@
OCES 3201,Biological Oceanography,3 Credit(s),OCES 2001 AND (OCES 3160 OR LIFS 3160 (prior to 2021-22)),,,,,,,This course examines major patterns and processes in coastal@ benthic@ and upper ocean pelagic ecosystems. We will explore mechanisms that control abundances and distribution of organisms@ from plankton to fishes@ including a brief survey of ecosystem models. This course will also cover human-impacts on the ocean and highlight interdisciplinary management tools.,@
OCES 3202,Chemical Oceanography,3 Credit(s),OCES 2001 AND OCES 2002,,,,,,,This course focuses on the major biogeochemical processes in the coastal@ benthic@ and upper ocean pelagic ecosystems that control the abundances@ distribution and transformation of chemical substances. The impacts of human activities and climate change on these processes will be discussed. The use of isotope tracers as a tool to investigate the age and sources of water masses will be illustrated.,@
OCES 3203,Physical Oceanography,3 Credit(s),"OCES 2003 AND {MATH 2350 OR [(MATH 2111 OR MATH 2121 OR MATH 2131)
AND (MATH 2351 OR MATH 2352)]}",,,,,,,This course adopts mathematical tools and laws of physics to unlock various oceanic motions with different temporal and spatial scales. Students will learn thermodynamic properties of seawater@ equations of motion of stratified and rotating fluid@ boundary current and Ekman transport@ planetary waves@ and eddy-mean flow interactions.,@
OCES 3301,Data Analysis in Ocean Science,3 Credit(s),(MATH 2411 OR LIFS 3150) AND (COMP 1021 OR COMP 1029P),,,,,,,The goal of the course is to learn basic numerical analysis tools needed to compute and practice simple techniques for analyzing oceanographic data. These analysis include basic statistics@ curve fitting@ and simple graphics. Students will learn these techniques through examples from ocean data sets. Students will learn to conduct these analyses with Python or R and are not assumed to have experience in programming.,@
OCES 3302,Marine Pollution Tracking,3 Credit(s),,,,,,,,The marine environment is susceptible to a range wide of land-based pollution such as sewage@ industrial effluent and terrestrial runoff. Very often the pollution source is either concealed or diffuse without an apparent point of discharge. The tracking of pollution source is essential to accurate assessment of the ecosystem and health consequences as well as effective mitigation and remedial actions. Pollution source tracking is a cross-disciplinary challenge@ involving knowledge and skills in microbiology@ molecular biology@ chemistry@ hydrodynamics@ etc. This course serves to provide an in-depth understanding of the principle of pollution source tracking@ the cutting-edge technology in the field and also case studies from Hong Kong and other parts of the world.,@
OCES 3330,Marine Biology Laboratory,3 Credit(s),,,OCES 3130,,,,,Both laboratory and field investigations will provide the opportunity to apply and adapt the experimental methods developed here to specific groups of marine organisms@ diversified marine habitats@ and practical issues in marine/environmental science. Tutorial sessions and field trips will be used to enhance student#s understanding of the practical work and the theories covered in the lectures.,@
OCES 4001,Ocean and Climate Change,3 Credit(s),OCES 2001 AND OCES 2003,,,,,ENVS 3004,,Ocean is the largest carbon reservoir on the Earth. It plays a central role in regulating the global climate but is currently under severe anthropogenic stress. This course provides students with relevant scientific background in ocean and climate@ which enables them to understand the past@ present and future climate changes. The impacts of human-induced changes of ocean and climate will also be investigated.,@
OCES 4201,Environmental Microbiology,3 Credit(s),LIFS 1030 (prior to 2021-22) OR LIFS 2060,,,,,ENVS 3005,,The course aims to introduce the students to (i) the fundamental features of microorganisms that live in the natural environment@ (ii) the roles of the microorganisms in natural processes that drive our ecosystem@ such as biogeochemical cycling@ interactions with plants and animals@ (iii) the use of the microorganisms in environmental technology. Key concepts are illustrated with real-life examples and case studies.,@
OCES 4202,Marine Biotechnology,3 Credit(s),OCES 4201,,,,,,,The goal of this course is provide the students a comprehensive understanding of marine biotechnology. The students will be able to learn the basic concepts of marine biodiversity@ biotechnology@ and the production of different compounds. At the end of this course@ the students will be able to evaluate the importance of marine resources and propose a sustainable way to utilize them.,@
OCES 4203,Environmental Impact and Risk Assessment,3 Credit(s),CHEM 1030 OR LIFS 1030 (prior to 2021-22),,,,,ENVS 4001,,This course gives an overview on the relationships between human health@ environment@ and sustainable development. Topics include the development and objectives of environmental impact and risk assessment; impacts of environmental quality (including air@ water@ wastes@ ecology) and health risks; assessment and mitigation@ public participation; sustainable development. Case studies and guest lectures will be included. For ENVS@ LIFS and CHEM students in their third and fourth year of study only.,@
OCES 4204,Coral Reef Ecosystem Science,4 Credit(s),OCES 3003 AND OCES 3160,,,,,,,This course provides a grounding in the theory required for comprehensive multi-disciplinary study of subtidal coastal ecosystems. Using coral reefs as an example@ lectures will explore global values and threats on coral reefs@ the physical@ biogeochemical and ecological factors controlling their structure and function@ and how to study these factors using integrative@ multi-disciplinary research based on the concepts of ecosystem science. For OST students in their third or fourth year of study only.,@
OCES 4301,Environmental Conservation,3 Credit(s),LIFS 3160 (prior to 2021-22),,,,,ENVS 4301,,This course covers the essential topics of environmental conservation@ which includes biodiversity@ ecosystems@ environmental ethics and economics@ environmental policy@ resource management@ and conservation biology. Case studies from Hong Kong and other regions will be investigated. For LIFS and ENVS students in their third or fourth year of study only.,@
OCES 4302,Ocean Modelling,3 Credit(s),OCES 3203 AND COMP 1021 AND MATH 2350,,,,,,,This course introduces numerical methods in physical oceanography to study various processes in the ocean general circulation. Students will learn to implement numerical tools to discretize and solve the governing equations in physical oceanography@ and to configure and run general ocean circulation models on high-performance computers. Students should possess certain level of programming skills prior to taking this course.,@
OCES 4320,Marine Toxicology,3 Credit(s),OCES 2002,,,,,,,"Marine toxicology aims to provide fundamental concepts in the toxicology of marine pollution@ with focuses on the general properties and principles of persistent and or toxic substances commonly encountered in the marine environment and in the biota@
and their effects on humans and their actions and movement in the marine environment. How chemicals are absorbed@ distributed@ metabolized@ and eliminated by the biological organisms in the marine environment will be examined. The biological response to the toxicants and its mechanisms will be covered. Knowledge and techniques in the monitoring@ measurement and management of toxicants and pollutants in the marine environment will be discussed.",@
OCES 4326,Introduction to Fluid Dynamics,3 Credit(s),MATH 4052,CIVL 2510@ MECH 2210,,,,,MATH 4326,Lagrangian and Eulerian methods for the flow description; derivation of the Euler and Navier-Stokes equations; sound wave and Mach number; 2D irrotational flow; elements of aerofoil theory; water wave dispersion relation; shallow water waves; ship wave pattern; dynamics of real fluid@ stokes flow and boundary layer theory.,@
OCES 4910,Independent Study,1-3 Credit(s),,,,,,,,Independent studies or projects under the directed guidance of a faculty member. Enrollment in the course requires prior approval of the course instructor@ and credits assigned depend on the workload. Students may repeat the course up to two times if different topics are taken. Graded P or F.,@
OCES 4940,Special Topics in Ocean Science and Technology,1-4 Credit(s),,,,,,,,This course will focus on emerging topics in ocean science and technology. The topics will be explored through lectures@ field work and/or workshops. For OST students in their third and fourth year of study.,@
OCES 4964,Ocean Science and Technology Capstone Project Research,3 Credit(s),,,,,,,,Under the supervision of a faculty member@ students will undertake a project about ocean science and technology. The project can be delivered through the format of literature review or research. Students are required to submit a written report. Subject to the nature of the project@ students may be required to give oral presentation as well. For OST students in their third and fourth year of study only. Instructor#s approval is needed for enrollment in the course.,@
OCES 4974,Ocean Science and Technology Research Project I,3 Credit(s),,,,,,,,This is the first course of the two-term project. Students will undertake a research project about ocean science and technology under faculty supervision. Through the reading of scientific literature@ field/laboratory studies@ meetings with supervisors@ and presentations in laboratory meetings@ students will learn the latest knowledge in their chosen field of research and the skills in hypothesis synthesis and testing@ experimental design@ data collection and analysis@ and scientific communication. Students will be evaluated for their performance through continuous assessment by the supervisor and an oral presentation held at the end of the course. For OST students in their fourth year of study only. Instructor#s approval is required for enrollment in the course.,@
OCES 4984,Ocean Science and Technology Research Project II,3 Credit(s),OCES 4974,,,,,,,This course is a continuation of OCES 4974 in which students will undertake a research project about ocean science and technology under faculty supervision. Through the reading of scientific literature@ field/laboratory studies@ meetings with supervisors@ and presentations in laboratory meetings@ students will learn the latest knowledge in their chosen field of research and the skills in hypothesis synthesis and testing@ experimental design@ data collection and analysis@ and scientific communication. Students will be evaluated for their performance through continuous assessment by the supervisor and a written report to be submitted at the end of the course. For OST students in their fourth year of study only. Instructor#s approval is required for enrollment in the course.,@
PHYS 1001,Physics and the Modern Society,3 Credit(s),,Level 3 or above in HKDSE 1/2x Physics or HKDSE 1x Physics; any PHYS courses at 1100-level or above,,,,,,This course is for students with no physics background. Course content: Principle of scientific theories and methods@ Aristotle#s law@ Newtonian mechanics. Thermal physics@ heat engine@ energy crisis and global warming. Nature of waves and the physics of hearing and vision. Electricity and magnetism@ electromagnetic waves and telecommunication. Relativity@ quantum physics@ nuclear energy and semiconductor. Developments and outlook of contemporary physics.,@
PHYS 1002,Introduction to Astrophysics and Astronomy,3 Credit(s),Level 3 or above in HKDSE 1/2x OR in HKDSE 1x Physics,PHYS 1006,,,,,,This course introduces students to origin of modern astronomy@ gravity@ light and telescope@ star light and atoms@ stars (binary@ formation@ evolution@ death)@ neutron stars and black holes@ normal galaxies@ peculiar galaxies@ cosmology@ the solar system@ life on other world. Students without the physics prerequisite but have taken PHYS 1001 or equivalent may seek instructor#s approval for enrolling in the course.,@
PHYS 1003,Energy and Related Environmental Issues,3 Credit(s),Level 3 or above in HKDSE 1/2x OR in HKDSE 1x Physics,,,,,,,This course will introduce the basic concepts of the physical principles behind energy. Various forms of energy and their use (including electricity@ fossil energy@ nuclear power@ various forms of renewable energy)@ and their impacts on the environment both from a global and a regional perspectives will be discussed. Issues related to energy conservation and related environmental issues in Hong Kong and the Pearl River Delta (PRD) will be discussed. Students without the physics prerequisite but have taken PHYS 1001 or equivalent may seek instructor#s approval for enrolling in the course.,@
PHYS 1005,Physics in Movies,3 Credit(s),Level 3 or above in HKDSE 1/2x Physics OR HKDSE 1x Physics,SISP 1111,,,,,,Films and movies are for entertainment. As such@ actions and episodes in movies frequently violate the basic laws of physics. By analyzing the situations portrayed in movies@ we seek to establish some basic principles of physics such as the laws of motions@ conversation laws@ principles of thermodynamics and notions of modern physics. Using films to illustrate the correct (or wrong) concepts of physics is a good way to help the students to comprehend and apply the basic principles of science in an enjoyable way. Movies and films also frequently describes@ sometimes in a grossly exaggerated manner@ the dire consequences when science or technology falls in the hands of the bad people or when good science is applied for a wrong purpose by unsuspecting people who have good intentions. Analyzing such situations can help students to evaluate the social and philosophical implications of scientific discoveries and technological development. Students without the physics prerequisite but have taken PHYS 1001 or equivalent may seek instructor#s approval for enrolling in the course.,@
PHYS 1006,Astronomy for Beginners,3 Credit(s),,Level 3 or above in HKDSE 1/2x Physics OR HKDSE 1x Physics@ a passing grade in AL/AS Physics@ PHYS 1001@ PHYS 1002,,,,,,For students with no physics background. Introduction to our Universe; observation in astronomy; origin of modern astronomy. Newton#s law of motions; gravity; light@ atoms and telescope. The Sun; stellar formation and evolution; white dwarfs@ neutron stars and black holes. The Milky way Galaxy; Normal galaxies@ active galaxies and supermassive black holes. Foundation of modern cosmology; dark matter@ dark energy and the fate of the Universe; the beginning of time.,@
PHYS 1007,Quantum Information for Everyone,3 Credit(s),Level 3 or above in HKDSE Mathematics Extended Module M2,PHYS 4812,,,,,,Information cannot exist without a physical system to represent it. Quantum physics enables some fundamental new ways of information processing. In recent years@ quantum information processing (QIP) has emerged as one of the $most fiercely competitive in today#s world of technology$. This course offers an introduction to the past@ present and future of QIP. The theme is to explain the major ideas and issues in QIP@ and how this new technology will change our understanding of information processing. The course starts from a gentle introduction to quantum theory without assuming any physics background@ then moves to the key applications of QIP including quantum computing@ quantum cryptography@ and quantum communication. Besides theory@ demonstrations and hands-on experiences with quantum hardware will also be given. Students will benefit from learning quantum information technology in an interdisciplinary environment@ with knowledge and skills for comprehending the fast-paced developments in today#s technological world.,@
PHYS 1111,General Physics I,3 Credit(s),Level 3 or above in HKDSE 1/2x OR HKDSE 1x Physics,Level 3 or above in HKDSE Mathematics Extended Module M1/M2@ PHYS 1112@ PHYS 1312,,,,,,PHYS 1111 and PHYS 1112 target students who have learned the most basic knowledge in physics in high school. Students with more advanced physics background should consider taking PHYS 1312. PHYS 1111 employs an algebra-based approach. Students with knowledge of calculus should take PHYS 1112 instead. Key topics include motions and Newton#s laws@ work and energy@ conservation of energy and momentum@ rotation@ rigid body@ simple harmonic and damped oscillations@ forced oscillations@ standing waves and sound waves@ kinetic theory and the laws of thermodynamics. For students under the 4-year degree only. Students with a passing grade in any MATH courses coded between 1000 and 1600 need to seek instructor#s approval for enrolling in this course.,@
PHYS 1112,General Physics I with Calculus,3 Credit(s),(Level 3 or above in HKDSE 1/2x OR in HKDSE 1x Physics) AND Level 3 or above in HKDSE Mathematics Extended Module M1/M2,PHYS 1111@ PHYS 1312,,,,,,PHYS 1111 and PHYS 1112 target students who have learned the most basic knowledge in physics in high school. Students with more advanced physics background should consider taking PHYS 1312. PHYS 1112 employs a calculus-based approach. Students without knowledge of calculus should take PHYS 1111 instead. Key topics include motions and Newton#s Laws@ work and energy@ conservation of energy and momentum@ rotation@ rigid body@ simple harmonic and damped oscillations@ forced oscillations@ standing waves and sound waves@ kinetic theory and the laws of thermodynamics. For students under the 4-year degree only. Students without the physics prerequisite but have taken PHYS 1001 or equivalent@ and/or without the mathematics prerequisite but have taken MATH 1012/ MATH 1013/ MATH 1020/ MATH 1023 or equivalent may seek instructor#s approval for enrolling in the course.,@
PHYS 1113,Laboratory for General Physics I,1 Credit(s),,,PHYS 1111 OR PHYS 1112 OR PHYS 1312,,,,,A laboratory course to accompany PHYS 1111/PHYS 1112/PHYS 1312. Experiments in mechanics and heat are chosen to illustrate the experimental foundations of physics presented in the lecture courses.,@
PHYS 1114,General Physics II,3 Credit(s),(PHYS 1111 OR PHYS 1112 OR PHYS 1312) AND (level 3 or above in HKDSE Mathematics Extended Module M1/M2 OR MATH 1012 OR MATH 1013 OR MATH 1020 OR MATH 1023),PHYS 1314,,,,,,This course targets students who have learned the most basic knowledge in physics in high school. Students with more advanced physics background should consider taking PHYS 1314. This course employs a calculus‐based approach. Key topics include Coulomb#s law@ electric field and potential@ Gauss# law@ capacitance@ circuits@ magnetic force and field@ Ampere#s law@ electromagnetic induction@ AC circuit@ Maxwell#s equations@ electromagnetic waves@ wave optics@ interference and diffraction.,@
PHYS 1115,Laboratory for General Physics II,1 Credit(s),,,PHYS 1114 OR PHYS 1314,,,,,A laboratory course to accompany PHYS 1114/1314. Experiments in static and current electricity and magnetism@ and optics are chosen to illustrate the experimental foundations of physics presented in the lecture courses.,@
PHYS 1312,Honors General Physics I,3 Credit(s),(Level 5* or above in HKDSE 1/2x Physics OR in HKDSE 1x Physics) AND (Level 5 or above in HKDSE Mathematics Extended Module M1/M2),PHYS 1111@ PHYS 1112,,,,,,This course is a more in-depth version of PHYS 1112. It is intended to provide a solid foundation to students who wish to take more advanced physics courses in the future. Key topics include motions and Newton#s Laws@ work and energy@ conservation of energy and momentum@ rotation@ rigid body@ simple harmonic and damped oscillations@ forced oscillations@ standing waves and sound waves@ kinetic theory and the laws of thermodynamics. Students without the prerequisite may seek instructor#s approval for enrolling in the course. For students under the 4-year degree only.,@
PHYS 1314,Honors General Physics II,3 Credit(s),(Grade A- or above in PHYS 1111 OR PHYS 1112 OR Grade B- or above in PHYS 1312) AND (Level 5 or above in HKDSE Mathematics Extended Module M1/M2 OR MATH 1012 OR MATH 1013 OR MATH 1020 OR MATH 1023),PHYS 1114,,,,,,This course is a more in-depth version of PHYS 1114. It is intended to provide a solid foundation to students who wish to take more advanced physics courses in the future. Key topics include Coulomb#s law@ electric field and potential@ Gauss# law@ capacitance@ circuits@ magnetic force and field@ Ampere#s law@ electromagnetic induction@ AC circuit@ Maxwell#s equations@ electromagnetic waves@ geometric optics@ interference and diffraction. Students without the prerequisite may seek instructor#s approval for enrolling in the course. For students under the 4-year degree only.,@
PHYS 2010,Introductory Biological Physics,3 Credit(s),(LIFS 1901 OR level 3 or above in HKDSE 1xBiology) AND (PHYS 1111 OR PHYS 1112 OR PHYS 1312),,,,,BIPH 2010,,This course introduces the use of physical methods in the study of biological systems@ including macromolecules@ membranes@ nerves@ muscle@ photosynthetic systems and visual systems. The biological systems to which the methods are applied will be surveyed and current interpretations of their structure and function will be discussed. The treatment of biological phenomena will be based on physical principles with appropriate mathematics when necessary. The emphasis will be on the applications of physics in biology.,@
PHYS 2022,Modern Physics,3 Credit(s),PHYS 1114 OR PHYS 1314,,,,[BLD] Blended learning,,,Introduction to relativity; introduction to quantum theory: particle-wave duality and Schrodinger equation; atoms@ molecules; and statistical physics: Maxwell@ Bose and Fermi distributions.,@
PHYS 2023,Modern Physics Laboratory,1 Credit(s),,,PHYS 2022,,,,,Laboratory accompanying PHYS 2022.,@
PHYS 2080,Physics Seminar and Tutorial I,1 Credit(s),,,,,,,,Appropriate seminars and small group tutorials are scheduled to expose students to a variety of issues in science and society@ and to enhance students# communication with faculties and among themselves. For Physics students in their second year of study under the four-year degree only. Graded P or F.,@
PHYS 2090,Directed Studies in Physics I,1 Credit(s),CGA at 2.70 or above,,,,,,,This course covers special topics selected by the instructor on the basis of individual student#s request. For students in the second year of study under the four-year degree only. Instructor#s approval is required for enrollment in the course. May be repeated for credits.,@
PHYS 2124,Mathematical Methods in Physics I,3 Credit(s),MATH 2023 AND (MATH 2121 OR MATH 2131),MATH 2350@ MATH 2351@ MATH 2352,,,,,,This course will cover most of the mathematical tools required for studying classical mechanics@ electromagnetism@ quantum mechanics and statistical mechanics. Key topics include complex numbers@ vector analysis@ Fourier series and transform@ ordinary differential equations and series solutions.,@
PHYS 3031,Mathematical Methods in Physics II,3 Credit(s),MATH 2023 AND MATH 2121 AND (MATH 2352 OR PHYS 2124),,,,,,,Physical applications of analytic and numerical methods are studied in such topics as differential equations@ Fourier series@ Laplace transforms@ matrices and vectors.,@
PHYS 3032,Classical Mechanics,3 Credit(s),PHYS 1111 OR PHYS 1112 OR PHYS 1312,,,,,,,Newtonian mechanics@ including rigid bodies; oscillating systems; gravitation and planetary motion; Lagrange equations; Hamilton#s equations; normal modes and small oscillations.,@
PHYS 3033,Electricity and Magnetism I,3 Credit(s),PHYS 1114 OR PHYS 1314,PHYS 3053,,PHYS 3053,,,,A physics core course. Electrostatics: electric charge and fields@ multipoles@ Laplace equation@ dielectrics; magnetostatics: currents@ magnetic fields and vector potential@ magnetic materials; Maxwell#s equations.,@
PHYS 3034,Electricity and Magnetism II,3 Credit(s),PHYS 3033 OR PHYS 3053,,,,,,,Electrodynamics: applications of Maxwell#s equations@ propagation in various media@ radiation@ relativistic electrodynamics@ transmission lines and wave guides.,@
PHYS 3036,Quantum Mechanics I,3 Credit(s),PHYS 2022,PHYS 3037,,PHYS 3037,,,,Basic properties of Schrodinger equation@ bound and scattering states in simple one-dimensional potentials@ formulation of quantum mechanics in terms of Hilbert space and Dirac bracket notation@ Schrodinger equation in three-dimensions@ angular momentum@ hydrogen atom wavefunction@ systems of identical particles@ spin and statistics@ multi-electron atoms and the periodic table.,@
PHYS 3037,Honors Quantum Mechanics I,4 Credit(s),Grade B- or above in PHYS 2022,PHYS 3036,,PHYS 3036,,,,This course is a more in-depth version of PHYS 3036 Elementary Quantum Mechanics I. Topics include: classical mechanics@ Schrodinger equation and simple examples in one-dimension@ formulation of quantum mechanics in terms of Hilbert space and Dirac bracket notation@ real and momentum space representations@ Heisenberg and Schrodinger pictures@ Schrodinger equation in three-dimensions@ angular momentum@ hydrogen atom wavefunction@ systems of identical particles@ the periodic table.,@
PHYS 3038,Optics,3 Credit(s),,ELEC 4610,,,,,,Ray tracing@ matrix optics@ wave optics@ superposition of waves and interference@ coherence@ Fresnel and Fraunhofer diffraction@ polarisation@ Fourier optics@ holography@ phase and group velocity@ material dispersion@ propagation of Gaussian beams.,@
